,filename,emotion_id,video_id,sex,prosody,intensity_level
4869,A405_gui_p_3.mp4,40,A405,f,meli,3
4870,A438_sex_p_2.mp4,24,A438,m,naro,2
4871,A417_ele_p_3.mp4,8,A417,m,meli,3
4872,A410_conc_v_2.mp4,27,A410,m,meli,2
4873,A435_awe_v_3.mp4,18,A435,m,naro,3
4874,A200_int_v_2.mp4,29,A200,m,naro,2
4875,A437_int_p_3.mp4,29,A437,m,naro,3
4876,A64_ple_p_3.mp4,23,A64,m,meli,3
4877,A55_rej_v_2_ver1.mp4,14,A55,m,meli,2
4878,A227_reg_v_2.mp4,0,A227,f,naro,2
4879,A55_gra_p_2.mp4,7,A55,m,meli,2
4880,A407_ten_p_3.mp4,28,A407,f,meli,3
4881,A227_gui_v_2.mp4,40,A227,f,naro,2
4882,A207_sat_p_2.mp4,16,A207,m,naro,2
4883,A91_int_v_3.mp4,29,A91,f,naro,3
4884,A91_scha_v_2.mp4,15,A91,f,naro,2
4885,A200_sha_p_2.mp4,43,A200,m,naro,2
4886,A337_pri_p_2.mp4,41,A337,f,meli,2
4887,A435_env_v_2.mp4,4,A435,m,naro,2
4888,A334_ten_p_3.mp4,28,A334,f,meli,3
4889,A67_gra_p_2.mp4,7,A67,m,meli,2
4890,A407_nos_p_2.mp4,30,A407,f,meli,2
4891,A405_ple_v_2.mp4,23,A405,f,meli,2
4892,A438_scha_v_3.mp4,15,A438,m,naro,3
4893,A332_exc_p_3.mp4,36,A332,f,meli,3
4894,A200_sex_p_2.mp4,24,A200,m,naro,2
4895,A424_sex_p_2.mp4,24,A424,f,meli,2
4896,A435_ins_p_3.mp4,19,A435,m,naro,3
4897,A72_gui_p_3.mp4,40,A72,m,naro,3
4898,A220_neu_sit1_p.mp4,22,A220,m,naro,0
4899,A200_sar_p_3.mp4,31,A200,m,naro,3
4900,A207_anx_p_2.mp4,34,A207,m,naro,2
4901,A417_conc_p_2.mp4,27,A417,m,meli,2
4902,A55_neg_sur_v_2_ver1.mp4,11,A55,m,meli,2
4903,A405_ins_p_2.mp4,19,A405,f,meli,2
4904,A424_reg_v_2.mp4,0,A424,f,meli,2
4905,A102_fea_p_2.mp4,10,A102,f,naro,2
4906,A207_rej_v_2.mp4,14,A207,m,naro,2
4907,A207_sex_p_3.mp4,24,A207,m,naro,3
4908,A55_emb_v_3_ver1.mp4,39,A55,m,meli,3
4909,A205_conc_p_3.mp4,27,A205,f,naro,3
4910,A72_mov_p_2.mp4,42,A72,m,naro,2
4911,A200_pea_p_2.mp4,25,A200,m,naro,2
4912,A67_sad_p_3.mp4,6,A67,m,meli,3
4913,A67_ele_v_3.mp4,8,A67,m,meli,3
4914,A55_scha_v_3_ver1.mp4,15,A55,m,meli,3
4915,A407_dou_p_2.mp4,3,A407,f,meli,2
4916,A327_cont_v_2.mp4,32,A327,m,meli,2
4917,A437_disg_p_2.mp4,35,A437,m,naro,2
4918,A405_neu_sit3_p.mp4,22,A405,f,meli,0
4919,A410_det_v_2.mp4,2,A410,m,meli,2
4920,A425_neg_sur_v_2.mp4,11,A425,f,naro,2
4921,A424_amu_p_2.mp4,13,A424,f,meli,2
4922,A438_tri_v_2.mp4,20,A438,m,naro,2
4923,A64_disg_v_3.mp4,35,A64,m,meli,3
4924,A426_disa_p_2.mp4,37,A426,f,naro,2
4925,A227_ang_p_2.mp4,12,A227,f,naro,2
4926,A327_rej_p_2.mp4,14,A327,m,meli,2
4927,A405_pea_p_3.mp4,25,A405,f,meli,3
4928,A72_rel_p_2.mp4,38,A72,m,naro,2
4929,A303_ele_p_3.mp4,8,A303,m,meli,3
4930,A327_neu_sit3_p.mp4,22,A327,m,meli,0
4931,A407_det_v_2.mp4,2,A407,f,meli,2
4932,A207_emb_v_2.mp4,39,A207,m,naro,2
4933,A303_sat_p_3.mp4,16,A303,m,meli,3
4934,A221_tri_v_2.mp4,20,A221,f,naro,2
4935,A227_ele_p_3.mp4,8,A227,f,naro,3
4936,A425_ple_p_3.mp4,23,A425,f,naro,3
4937,A55_sex_v_2_ver1.mp4,24,A55,m,meli,2
4938,A102_neu_sit2_p.mp4,22,A102,f,naro,0
4939,A417_bor_v_2.mp4,26,A417,m,meli,2
4940,A72_ins_v_3.mp4,19,A72,m,naro,3
4941,A200_neu_sit2_p.mp4,22,A200,m,naro,0
4942,A55_emb_v_2_ver1.mp4,39,A55,m,meli,2
4943,A426_gra_p_2.mp4,7,A426,f,naro,2
4944,A438_hop_v_2.mp4,21,A438,m,naro,2
4945,A303_cont_p_3.mp4,32,A303,m,meli,3
4946,A438_dou_v_3.mp4,3,A438,m,naro,3
4947,A102_conc_p_3.mp4,27,A102,f,naro,3
4948,A220_conc_v_3.mp4,27,A220,m,naro,3
4949,A227_sat_v_3.mp4,16,A227,f,naro,3
4950,A55_conf_p_2.mp4,1,A55,m,meli,2
4951,A207_sex_v_3.mp4,24,A207,m,naro,3
4952,A64_rej_p_2.mp4,14,A64,m,meli,2
4953,A221_anx_v_3.mp4,34,A221,f,naro,3
4954,A425_reg_p_3.mp4,0,A425,f,naro,3
4955,A407_int_p_2.mp4,29,A407,f,meli,2
4956,A417_rel_v_3.mp4,38,A417,m,meli,3
4957,A337_ang_p_2.mp4,12,A337,f,meli,2
4958,A72_det_p_3.mp4,2,A72,m,naro,3
4959,A221_dist_v_3.mp4,17,A221,f,naro,3
4960,A332_ple_p_3.mp4,23,A332,f,meli,3
4961,A437_ele_p_3.mp4,8,A437,m,naro,3
4962,A437_ins_v_2.mp4,19,A437,m,naro,2
4963,A200_hap_v_3.mp4,33,A200,m,naro,3
4964,A91_ele_p_3.mp4,8,A91,f,naro,3
4965,A72_scha_p_2.mp4,15,A72,m,naro,2
4966,A407_scha_p_3.mp4,15,A407,f,meli,3
4967,A407_tri_v_3.mp4,20,A407,f,meli,3
